ALL_DAEs (including priority assigned genes near DAEs)																		
# GO	NS	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	enrichment	p_fdr_bh	study_items								
......GO:0043542	BP	endothelial cell migration	7/698	13/7020	9.36E-05	6	7	5.415472779	0.019897199	LALB_v3.1_00538, LALB_v3.1_04115, LALB_v3.1_04174, LALB_v3.1_04554, LALB_v3.1_05930, LALB_v3.1_07896, LALB_v3.1_08194								
....GO:0031490	MF	chromatin DNA binding	8/698	17/7020	9.86E-05	5	8	4.73285016	0.025769455	LALB_v3.1_00419, LALB_v3.1_01846, LALB_v3.1_02559, LALB_v3.1_04853, LALB_v3.1_04999, LALB_v3.1_06529, LALB_v3.1_07970, LALB_v3.1_09423								
....GO:0010453	BP	regulation of cell fate commitment	7/698	15/7020	0.000293599	4	7	4.693409742	0.041157603	LALB_v3.1_00419, LALB_v3.1_00893, LALB_v3.1_01515, LALB_v3.1_02515, LALB_v3.1_05489, LALB_v3.1_07306, LALB_v3.1_07308								
....GO:0060076	CC	excitatory synapse	8/698	19/7020	0.000255931	4	8	4.234655406	0.049191112	LALB_v3.1_00112, LALB_v3.1_00442, LALB_v3.1_01846, LALB_v3.1_03366, LALB_v3.1_05173, LALB_v3.1_08348, LALB_v3.1_08349, LALB_v3.1_08420								
....GO:0048149	BP	behavioral response to ethanol	9/698	22/7020	0.000136231	4	9	4.114352696	0.024652771	LALB_v3.1_03505, LALB_v3.1_03583, LALB_v3.1_07299, LALB_v3.1_07620, LALB_v3.1_08061, LALB_v3.1_08644, LALB_v3.1_09119, LALB_v3.1_09364, LALB_v3.1_09511								
......GO:0001745	BP	compound eye morphogenesis	11/698	30/7020	8.07E-05	6	11	3.687679083	0.01867573	LALB_v3.1_00437, LALB_v3.1_00443, LALB_v3.1_00841, LALB_v3.1_00917, LALB_v3.1_01515, LALB_v3.1_01681, LALB_v3.1_02200, LALB_v3.1_02543, LALB_v3.1_08279, LALB_v3.1_08347, LALB_v3.1_08809								
.....GO:0048592	BP	eye morphogenesis	17/698	49/7020	2.29E-06	5	17	3.489269633	0.001423843	LALB_v3.1_00419, LALB_v3.1_00437, LALB_v3.1_00443, LALB_v3.1_00841, LALB_v3.1_00917, LALB_v3.1_01515, LALB_v3.1_01681, LALB_v3.1_02200, LALB_v3.1_02543, LALB_v3.1_03582, LALB_v3.1_06343, LALB_v3.1_06345, LALB_v3.1_06567, LALB_v3.1_08279, LALB_v3.1_08347, LALB_v3.1_08644, LALB_v3.1_08809								
....GO:0090596	BP	sensory organ morphogenesis	17/698	51/7020	4.30E-06	4	17	3.35243553	0.002515809	LALB_v3.1_00419, LALB_v3.1_00437, LALB_v3.1_00443, LALB_v3.1_00841, LALB_v3.1_00917, LALB_v3.1_01515, LALB_v3.1_01681, LALB_v3.1_02200, LALB_v3.1_02543, LALB_v3.1_03582, LALB_v3.1_06343, LALB_v3.1_06345, LALB_v3.1_06567, LALB_v3.1_08279, LALB_v3.1_08347, LALB_v3.1_08644, LALB_v3.1_08809								
......GO:0042462	BP	eye photoreceptor cell development	12/698	37/7020	0.000151109	6	12	3.261829164	0.025930849	LALB_v3.1_00419, LALB_v3.1_00437, LALB_v3.1_01007, LALB_v3.1_02697, LALB_v3.1_04612, LALB_v3.1_05546, LALB_v3.1_06345, LALB_v3.1_07576, LALB_v3.1_07899, LALB_v3.1_08347, LALB_v3.1_08402, LALB_v3.1_10682								
....GO:0098742	BP	cell-cell adhesion via plasma-membrane adhesion molecules	16/698	51/7020	1.97E-05	4	16	3.15523344	0.006529778	LALB_v3.1_00841, LALB_v3.1_00972, LALB_v3.1_02200, LALB_v3.1_02759, LALB_v3.1_04457, LALB_v3.1_05173, LALB_v3.1_06107, LALB_v3.1_06178, LALB_v3.1_06828, LALB_v3.1_07140, LALB_v3.1_07899, LALB_v3.1_07918, LALB_v3.1_07925, LALB_v3.1_08348, LALB_v3.1_08644, LALB_v3.1_10682								
.....GO:0007156	BP	homophilic cell adhesion via plasma membrane adhesion molecules	13/698	44/7020	0.000232719	5	13	2.971476947	0.034570998	LALB_v3.1_00841, LALB_v3.1_00972, LALB_v3.1_02200, LALB_v3.1_02759, LALB_v3.1_05173, LALB_v3.1_06178, LALB_v3.1_06828, LALB_v3.1_07140, LALB_v3.1_07899, LALB_v3.1_07918, LALB_v3.1_07925, LALB_v3.1_08644, LALB_v3.1_10682								
...GO:0008038	BP	neuron recognition	15/698	53/7020	0.000134046	3	15	2.846407526	0.024652771	LALB_v3.1_00275, LALB_v3.1_00437, LALB_v3.1_02807, LALB_v3.1_04457, LALB_v3.1_06867, LALB_v3.1_07140, LALB_v3.1_07610, LALB_v3.1_07899, LALB_v3.1_08090, LALB_v3.1_08402, LALB_v3.1_08644, LALB_v3.1_09278, LALB_v3.1_09988, LALB_v3.1_10682, LALB_v3.1_10777								
