SOCIAL-BIASED_DAEs (including priority assigned genes near social-biased DAEs)																		
# GO	NS	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	enrichment	p_fdr_bh	study_items								
....GO:0048149	BP	behavioral response to ethanol	7/350	22/7020	6.42E-05	4	7	6.381818182	0.02281087	LALB_v3.1_03505, LALB_v3.1_03583, LALB_v3.1_07299, LALB_v3.1_07620, LALB_v3.1_08644, LALB_v3.1_09364, LALB_v3.1_09511								
......GO:0001745	BP	compound eye morphogenesis	8/350	30/7020	7.85E-05	6	8	5.348571429	0.026926184	LALB_v3.1_00443, LALB_v3.1_00917, LALB_v3.1_01515, LALB_v3.1_01681, LALB_v3.1_02543, LALB_v3.1_08279, LALB_v3.1_08347, LALB_v3.1_08809								
.....GO:0048592	BP	eye morphogenesis	13/350	49/7020	4.83E-07	5	13	5.321282799	0.00096146	LALB_v3.1_00443, LALB_v3.1_00917, LALB_v3.1_01515, LALB_v3.1_01681, LALB_v3.1_02543, LALB_v3.1_03582, LALB_v3.1_06343, LALB_v3.1_06345, LALB_v3.1_06567, LALB_v3.1_08279, LALB_v3.1_08347, LALB_v3.1_08644, LALB_v3.1_08809								
....GO:0090596	BP	sensory organ morphogenesis	13/350	51/7020	8.00E-07	4	13	5.112605042	0.001275343	LALB_v3.1_00443, LALB_v3.1_00917, LALB_v3.1_01515, LALB_v3.1_01681, LALB_v3.1_02543, LALB_v3.1_03582, LALB_v3.1_06343, LALB_v3.1_06345, LALB_v3.1_06567, LALB_v3.1_08279, LALB_v3.1_08347, LALB_v3.1_08644, LALB_v3.1_08809								
....GO:0035114	BP	imaginal disc-derived appendage morphogenesis	13/350	66/7020	1.74E-05	4	13	3.950649351	0.011535474	LALB_v3.1_00443, LALB_v3.1_00917, LALB_v3.1_01515, LALB_v3.1_02543, LALB_v3.1_02807, LALB_v3.1_03505, LALB_v3.1_04457, LALB_v3.1_05489, LALB_v3.1_06107, LALB_v3.1_06345, LALB_v3.1_07299, LALB_v3.1_07308, LALB_v3.1_08809								
....GO:0035120	BP	post-embryonic appendage morphogenesis	11/350	61/7020	0.000178546	4	11	3.616861827	0.044781349	LALB_v3.1_00917, LALB_v3.1_01515, LALB_v3.1_02543, LALB_v3.1_02807, LALB_v3.1_03505, LALB_v3.1_04457, LALB_v3.1_05489, LALB_v3.1_06107, LALB_v3.1_07299, LALB_v3.1_07308, LALB_v3.1_08809								
...GO:0035107	BP	appendage morphogenesis	13/350	80/7020	0.000142186	3	13	3.259285714	0.039666312	LALB_v3.1_00443, LALB_v3.1_00917, LALB_v3.1_01515, LALB_v3.1_02543, LALB_v3.1_02807, LALB_v3.1_03505, LALB_v3.1_04457, LALB_v3.1_05489, LALB_v3.1_06107, LALB_v3.1_06345, LALB_v3.1_07299, LALB_v3.1_07308, LALB_v3.1_08809								
...GO:0009886	BP	post-embryonic animal morphogenesis	15/350	100/7020	0.000113955	3	15	3.008571429	0.034369559	LALB_v3.1_00443, LALB_v3.1_00917, LALB_v3.1_01515, LALB_v3.1_02543, LALB_v3.1_02807, LALB_v3.1_03505, LALB_v3.1_03776, LALB_v3.1_04457, LALB_v3.1_05489, LALB_v3.1_06107, LALB_v3.1_07299, LALB_v3.1_07308, LALB_v3.1_08809, LALB_v3.1_09278, LALB_v3.1_09490								
...GO:0019904	MF	protein domain specific binding	20/350	143/7020	2.44E-05	3	20	2.805194805	0.007294056	LALB_v3.1_01512, LALB_v3.1_01515, LALB_v3.1_01846, LALB_v3.1_02103, LALB_v3.1_03215, LALB_v3.1_03776, LALB_v3.1_04350, LALB_v3.1_04626, LALB_v3.1_05077, LALB_v3.1_05981, LALB_v3.1_06023, LALB_v3.1_06143, LALB_v3.1_07308, LALB_v3.1_07351, LALB_v3.1_07970, LALB_v3.1_08348, LALB_v3.1_08420, LALB_v3.1_08467, LALB_v3.1_10499, LALB_v3.1_10544								
...GO:0007267	BP	cell-cell signaling	20/350	146/7020	3.31E-05	4	20	2.747553816	0.016348106	LALB_v3.1_01515, LALB_v3.1_01936, LALB_v3.1_02389, LALB_v3.1_03583, LALB_v3.1_03603, LALB_v3.1_03776, LALB_v3.1_04626, LALB_v3.1_05444, LALB_v3.1_05997, LALB_v3.1_07446, LALB_v3.1_07620, LALB_v3.1_07689, LALB_v3.1_08149, LALB_v3.1_08348, LALB_v3.1_08420, LALB_v3.1_08464, LALB_v3.1_08809, LALB_v3.1_08857, LALB_v3.1_09278, LALB_v3.1_09988								
