Sample name	File1	File2	Total reads	Mapped reads	Properly paired	Average insert size	Proportion of bases covered by >=10 reads (estimated from 1 million sites)	Proportion of bases covered by >=20 reads (estimated from 1 million sites)	Mean coverage	StDev coverage	25% quartile	50% quartile	75% quartile
AIL-F1-input	Lalb-AIL-F1-input-read-1.fastq.gz	Lalb-AIL-F1-input-read-3.fastq.gz	92746723	87015273	78954586	363.5	0.984200435	0.963849763	110.44	2107.89	50	69	90
AIL-F1-RNA	Lalb-AIL-F1-RNA-read-1.fastq.gz	Lalb-AIL-F1-RNA-read-3.fastq.gz	86561332	80589895	73355862	361.1	0.901965408	0.796226733	101.52	1551.94	24	46	80
AIL-F2-input	Lalb-AIL-F2-input-read-1.fastq.gz	Lalb-AIL-F2-input-read-3.fastq.gz	100697258	94521937	85762628	363.5	0.985540103	0.967946057	119.92	2301.12	55	75	98
AIL-F2-RNA	Lalb-AIL-F2-RNA-read-1.fastq.gz	Lalb-AIL-F2-RNA-read-3.fastq.gz	80322646	74730065	68037768	361.1	0.888451801	0.775877052	93.84	1452.02	22	44	77
AIL-F3-input	Lalb-AIL-F3-input-read-1.fastq.gz	Lalb-AIL-F3-input-read-3.fastq.gz	98673010	92628730	84117152	361.7	0.985173478	0.966621251	117.32	2321.43	54	72	94
AIL-F3-RNA	Lalb-AIL-F3-RNA-read-1.fastq.gz	Lalb-AIL-F3-RNA-read-3.fastq.gz	90604613	84405934	76808854	362.1	0.925092523	0.831108645	106.33	1603.81	26	50	84
ANO-F1-input	Lalb-ANO-F1-input-read-1.fastq.gz	Lalb-ANO-F1-input-read-3.fastq.gz	73264438	67527567	60149306	401.2	0.946330032	0.880228497	89.87	2927.1	32	52	74
ANO-F1-RNA	Lalb-ANO-F1-RNA-read-1.fastq.gz	Lalb-ANO-F1-RNA-read-3.fastq.gz	84605252	77482362	68363392	407.5	0.906195471	0.799220178	103.63	2492.7	24	44	75
ANO-F2-input	Lalb-ANO-F2-input-read-1.fastq.gz	Lalb-ANO-F2-input-read-3.fastq.gz	75627877	69472410	61747936	405.5	0.949778291	0.890582191	92.87	2749.64	34	54	78
ANO-F2-RNA	Lalb-ANO-F2-RNA-read-1.fastq.gz	Lalb-ANO-F2-RNA-read-3.fastq.gz	82702156	75736044	66995682	405.4	0.905459248	0.796603267	101.04	2663.64	23	44	74
ANO-F3-input	Lalb-ANO-F3-input-read-1.fastq.gz	Lalb-ANO-F3-input-read-3.fastq.gz	73722765	67737839	60243560	405.1	0.948235492	0.885263153	90.59	2735.11	33	53	76
ANO-F3-RNA	Lalb-ANO-F3-RNA-read-1.fastq.gz	Lalb-ANO-F3-RNA-read-3.fastq.gz	94359394	86470763	76292954	406.2	0.919549546	0.829239847	115.43	2797.73	26	50	82
RIM-F1-input	Lalb-RIM-F1-input-read-1.fastq.gz	Lalb-RIM-F1-input-read-3.fastq.gz	67341726	59686806	52855554	483.9	0.954032134	0.900750591	95.72	2095.79	37	60	88
RIM-F1-RNA	Lalb-RIM-F1-RNA-read-1.fastq.gz	Lalb-RIM-F1-RNA-read-3.fastq.gz	80188341	69531898	61197014	489.6	0.912547996	0.817363172	114.95	1987.36	26	50	88
RIM-F2-input	Lalb-RIM-F2-input-read-1.fastq.gz	Lalb-RIM-F2-input-read-3.fastq.gz	66524633	66524633	52257274	483.8	0.953538676	0.899062133	94.69	2101.94	36	59	86
RIM-F2-RNA	Lalb-RIM-F2-RNA-read-1.fastq.gz	Lalb-RIM-F2-RNA-read-3.fastq.gz	77849745	67329288	59324738	489.1	0.912760044	0.814476742	111.72	2021.33	25	49	86
RIM-F3-input	Lalb-RIM-F3-input-read-1.fastq.gz	Lalb-RIM-F3-input-read-3.fastq.gz	64183168	56885493	50381190	484.7	0.951633216	0.894345549	91.44	1997.86	35	57	84
RIM-F3-RNA	Lalb-RIM-F3-RNA-read-1.fastq.gz	Lalb-RIM-F3-RNA-read-3.fastq.gz	82237138	71196768	62715932	488.9	0.921614538	0.832916008	117.8	2112.87	28	52	92
TOM-F1-input	Lalb-TOM-F1-input-read-1.fastq.gz	Lalb-TOM-F1-input-read-3.fastq.gz	63153793	58849313	52947292	442.8	0.977081961	0.926996002	87.38	944.23	38	60	86
TOM-F1-RNA	Lalb-TOM-F1-RNA-read-1.fastq.gz	Lalb-TOM-F1-RNA-read-3.fastq.gz	82172387	75062299	67337144	445.7	0.943025451	0.852438305	113.49	1125.84	28	52	88
TOM-F2-input	Lalb-TOM-F2-input-read-1.fastq.gz	Lalb-TOM-F2-input-read-3.fastq.gz	73545913	68529443	61655816	442	0.982101753	0.944707963	101.37	1077.14	45	70	100
TOM-F2-RNA	Lalb-TOM-F2-RNA-read-1.fastq.gz	Lalb-TOM-F2-RNA-read-3.fastq.gz	84273274	77001465	69150444	442.5	0.944341338	0.856236344	115.82	1173.83	30	54	90
TOM-F3-input	Lalb-TOM-F3-input-read-1.fastq.gz	Lalb-TOM-F3-input-read-3.fastq.gz	61132894	56948569	51248542	442.1	0.975909751	0.856236344	84.6	934.68	37	58	82
TOM-F3-RNA	Lalb-TOM-F3-RNA-read-1.fastq.gz	Lalb-TOM-F3-RNA-read-3.fastq.gz	97372596	88954283	79828370	442.3	0.956760024	0.887878082	133.45	1312.5	34	62	104
VEN-F1-input	Lalb-VEN-F1-input-read-1.fastq.gz	Lalb-VEN-F1-input-read-3.fastq.gz	88622688	80184729	72669828	428.3	0.992272135	0.970138872	119.46	2051.49	48	70	96
VEN-F1-RNA	Lalb-VEN-F1-RNA-read-1.fastq.gz	Lalb-VEN-F1-RNA-read-3.fastq.gz	76286463	69965628	63468480	421.4	0.85222923	0.716919754	103.98	1134.21	16	36	66
VEN-F2-input	Lalb-VEN-F2-input-read-1.fastq.gz	Lalb-VEN-F2-input-read-3.fastq.gz	104510153	94648402	85828894	427.3	0.994125079	0.979376836	140.63	2413.86	58	82	112
VEN-F2-RNA	Lalb-VEN-F2-RNA-read-1.fastq.gz	Lalb-VEN-F2-RNA-read-3.fastq.gz	88474366	80936337	73385930	424	0.844579644	0.737416085	120.35	1291.29	18	42	80
VEN-F3-input	Lalb-VEN-F3-input-read-1.fastq.gz	Lalb-VEN-F3-input-read-3.fastq.gz	86911356	78742685	71442776	426.9	0.991763814	0.967846969	117.28	2064.01	48	68	93
VEN-F3-RNA	Lalb-VEN-F3-RNA-read-1.fastq.gz	Lalb-VEN-F3-RNA-read-3.fastq.gz	64572773	58953067	53490364	424	0.778632686	0.641495038	87.43	949	12	30	60
WIM-F1-input	Lalb-WIM-F1-input-read-1.fastq.gz	Lalb-WIM-F1-input-read-3.fastq.gz	67644324	63003574	56021414	404.2	0.992778474	0.965541193	81.56	1116.16	40	54	72
WIM-F1-RNA	Lalb-WIM-F1-RNA-read-1.fastq.gz	Lalb-WIM-F1-RNA-read-3.fastq.gz	80134431	75613288	67168380	405.3	0.954517665	0.841434595	97.32	1008.82	25	40	62
WIM-F2-input	Lalb-WIM-F2-input-read-1.fastq.gz	Lalb-WIM-F2-input-read-3.fastq.gz	75754558	70578197	62717802	402.3	0.994482786	0.97499616	90.97	1207.47	46	62	80
WIM-F2-RNA	Lalb-WIM-F2-RNA-read-1.fastq.gz	Lalb-WIM-F2-RNA-read-3.fastq.gz	89159711	84015626	74671268	404.7	0.964113337	0.875380126	107.92	1088.94	28	46	70
WIM-F3-input	Lalb-WIM-F3-input-read-1.fastq.gz	Lalb-WIM-F3-input-read-3.fastq.gz	64678877	60292095	53657300	404	0.991756878	0.95982184	78.06	1081.61	38	52	68
WIM-F3-RNA	Lalb-WIM-F3-RNA-read-1.fastq.gz	Lalb-WIM-F3-RNA-read-3.fastq.gz	92888821	87647597	77881018	405.1	0.964892168	0.87668115	112.95	1176.24	28	46	70
